TaskNumber,AnswerNumber,RunNumber,IsWrong,NumberOfMatches
1,1,1,0,28
1,2,1,0,24
1,3,1,1,2
1,4,1,1,0
1,5,1,0,27
1,6,1,0,7
1,7,1,0,26
1,1,2,0,24
1,2,2,0,24
1,3,2,1,2
1,4,2,1,2
1,5,2,0,25
1,6,2,0,9
1,7,2,0,25
2,1,1,0,29
2,2,1,0,8
2,3,1,0,31
2,4,1,0,31
2,5,1,0,29
2,6,1,0,21
2,7,1,0,28
2,1,2,0,24
2,2,2,0,12
2,3,2,0,31
2,4,2,0,31
2,5,2,0,28
2,6,2,0,16
2,7,2,0,28
3,1,1,0,19
3,2,1,0,24
3,3,1,0,8
3,4,1,0,31
3,5,1,0,31
3,6,1,0,21
3,7,1,0,31
3,1,2,0,21
3,2,2,0,22
3,3,2,0,5
3,4,2,0,31
3,5,2,0,31
3,6,2,0,20
3,7,2,0,31
4,1,1,0,16
4,2,1,0,1
4,3,1,0,8
4,4,1,0,15
4,5,1,0,30
4,6,1,0,27
4,7,1,0,31
4,8,1,0,31
4,1,2,0,20
4,2,2,0,3
4,3,2,0,5
4,4,2,0,14
4,5,2,0,30
4,6,2,0,29
4,7,2,0,31
4,8,2,0,31
5,1,1,1,3
5,2,1,0,29
5,3,1,1,7
5,4,1,0,28
5,1,2,1,7
5,2,2,0,27
5,3,2,1,8
5,4,2,0,30
6,1,1,0,10
6,2,1,0,0
6,3,1,0,10
6,4,1,0,31
6,5,1,0,31
6,1,2,0,4
6,2,2,0,0
6,3,2,0,4
6,4,2,0,31
6,5,2,0,31
7,1,1,0,17
7,2,1,0,0
7,3,1,1,0
7,4,1,1,0
7,5,1,0,31
7,6,1,0,31
7,7,1,0,31
7,8,1,0,29
7,1,2,0,20
7,2,2,0,0
7,3,2,1,2
7,4,2,1,1
7,5,2,0,31
7,6,2,0,31
7,7,2,0,31
7,8,2,0,30
8,1,1,1,0
8,2,1,0,29
8,3,1,0,22
8,4,1,0,21
8,5,1,0,28
8,6,1,0,31
8,7,1,0,31
8,1,2,1,1
