TaskNumber,AnswerNumber,RunNumber,IsWrong,NumberOfMatches
1,1,1,0,2
1,2,1,0,16
1,3,1,0,15
1,4,1,0,31
1,5,1,0,31
1,6,1,0,31
1,7,1,0,31
1,8,1,0,23
1,9,1,0,31
1,10,1,0,31
1,1,2,0,8
1,2,2,0,11
1,3,2,0,18
1,4,2,0,31
1,5,2,0,31
1,6,2,0,30
1,7,2,0,31
1,8,2,0,29
1,9,2,0,29
1,10,2,0,31
2,1,1,0,10
2,2,1,0,23
2,3,1,0,26
2,4,1,0,23
2,1,2,0,14
2,2,2,0,27
2,3,2,0,27
2,4,2,0,22
3,1,1,1,2
3,2,1,0,19
3,3,1,0,12
3,4,1,0,19
3,5,1,0,9
3,6,1,0,26
3,7,1,0,26
3,8,1,0,31
3,9,1,0,30
3,10,1,0,29
3,11,1,0,28
3,12,1,0,30
3,13,1,0,21
3,14,1,1,12
3,1,2,1,4
3,2,2,0,21
3,3,2,0,10
3,4,2,0,25
3,5,2,0,13
3,6,2,0,25
3,7,2,0,28
3,8,2,0,29
3,9,2,0,25
3,10,2,0,25
3,11,2,0,24
3,12,2,0,29
3,13,2,0,17
3,14,2,1,10
4,1,1,0,9
4,2,1,1,6
4,3,1,1,14
4,4,1,1,10
4,5,1,1,15
4,6,1,0,19
4,7,1,0,25
4,8,1,0,24
4,9,1,0,28
4,10,1,0,20
4,11,1,0,27
4,12,1,0,27
4,1,2,0,13
4,2,2,1,9
4,3,2,1,14
4,4,2,1,7
4,5,2,1,18
4,6,2,0,20
4,7,2,0,20
4,8,2,0,24
4,9,2,0,28
4,10,2,0,14
4,11,2,0,27
4,12,2,0,30
5,1,1,0,20
5,2,1,0,9
5,3,1,0,22
5,4,1,0,17
5,5,1,0,18
5,6,1,0,22
5,7,1,0,25
5,8,1,0,24
5,9,1,0,27
5,10,1,0,7
5,11,1,0,21
5,12,1,0,20
5,13,1,0,19
5,14,1,0,16
5,15,1,0,27
5,1,2,0,18
5,2,2,0,10
5,3,2,0,21
5,4,2,0,17
5,5,2,0,22
5,6,2,0,22
5,7,2,0,25
5,8,2,0,27
5,9,2,0,29
5,10,2,0,5
5,11,2,0,26
5,12,2,0,19
